driver_id,date,total_transcations,total_distance,online_duration_in_seconds,orders_received,orders_accepted,earnings,orders_cancelled,label
140546849,2016-08-11,1,6.63,7293,26,5,27600.0,4,0
140106062,2016-08-11,1,8.41,16579,32,2,28750.0,1,0
140636533,2016-08-11,1,20.54,23030,31,2,98900.0,1,0
140599809,2016-08-11,1,9.53,13375,49,5,0.0,4,0
140685427,2016-08-11,1,8.86,25273,24,4,35650.0,0,0
140179787,2016-08-11,1,52.55,41176,45,3,438150.0,1,0
140162519,2016-08-11,0,0.0,0,0,0,0.0,0,0
140167363,2016-08-11,0,0.0,4276,0,0,0.0,0,1
140384381,2016-08-11,0,0.0,36,0,0,0.0,0,0
140256934,2016-08-11,0,0.0,0,0,0,0.0,0,1
140581927,2016-08-11,0,0.0,43,0,0,0.0,0,0
140595371,2016-08-11,0,0.0,0,0,0,0.0,0,0
140603327,2016-08-11,0,0.0,325,0,0,0.0,0,0
140543989,2016-08-11,0,0.0,0,0,0,0.0,0,0
140590307,2016-08-11,0,0.0,0,0,0,0.0,0,0
140513178,2016-08-11,0,0.0,0,0,0,0.0,0,0
140100626,2016-08-11,0,0.0,0,0,0,0.0,0,1
140200239,2016-08-11,0,0.0,0,0,0,0.0,0,1
140566303,2016-08-11,0,0.0,0,0,0,0.0,0,1
140509513,2016-08-11,0,0.0,3,0,0,0.0,0,0
140133815,2016-08-11,0,0.0,1647,0,0,0.0,0,0
140283427,2016-08-11,0,0.0,432,0,0,0.0,0,0
140564853,2016-08-11,0,0.0,0,0,0,0.0,0,0
140274613,2016-08-11,0,0.0,226,0,0,0.0,0,0
140430175,2016-08-11,0,0.0,208,0,0,0.0,0,0
140217042,2016-08-11,0,0.0,0,0,0,0.0,0,0
140608785,2016-08-11,0,0.0,0,0,0,0.0,0,0
140140548,2016-08-11,0,0.0,0,0,0,0.0,0,0
140275803,2016-08-11,0,0.0,0,0,0,0.0,0,0
140619820,2016-08-11,0,0.0,0,0,0,0.0,0,0
140093009,2016-08-11,0,0.0,18789,0,0,0.0,0,0
140559042,2016-08-11,0,0.0,0,0,0,0.0,0,1
140106711,2016-08-11,0,0.0,0,0,0,0.0,0,0
140554920,2016-08-11,0,0.0,867,0,0,0.0,0,0
140281716,2016-08-11,0,0.0,2,0,0,0.0,0,0
140286109,2016-08-11,0,0.0,36,0,0,0.0,0,0
140213190,2016-08-11,0,0.0,0,0,0,0.0,0,0
140660175,2016-08-11,0,0.0,0,0,0,0.0,0,0
140093823,2016-08-11,0,0.0,0,0,0,0.0,0,1
140570519,2016-08-11,0,0.0,0,0,0,0.0,0,0
140483701,2016-08-11,0,0.0,0,0,0,0.0,0,0
140318072,2016-08-11,0,0.0,411,0,0,0.0,0,0
140131311,2016-08-11,0,0.0,0,0,0,0.0,0,0
140116310,2016-08-11,0,0.0,2899,0,0,0.0,0,0
140576524,2016-08-11,0,0.0,0,0,0,0.0,0,0
140423592,2016-08-11,0,0.0,0,0,0,0.0,0,0
140215146,2016-08-11,0,0.0,0,0,0,0.0,0,0
140575687,2016-08-11,0,0.0,0,0,0,0.0,0,0
140655572,2016-08-11,0,0.0,0,0,0,0.0,0,0
140598613,2016-08-11,0,0.0,0,0,0,0.0,0,1
140143133,2016-08-11,0,0.0,0,0,0,0.0,0,0
140338068,2016-08-11,0,0.0,2615,0,0,0.0,0,0
140199258,2016-08-11,0,0.0,0,0,0,0.0,0,0
140105358,2016-08-11,0,0.0,0,0,0,0.0,0,0
140260563,2016-08-11,0,0.0,0,0,0,0.0,0,0
140483330,2016-08-11,0,0.0,0,0,0,0.0,0,0
140352711,2016-08-11,0,0.0,0,0,0,0.0,0,1
140091670,2016-08-11,0,0.0,0,0,0,0.0,0,0
140427406,2016-08-11,0,0.0,7296,0,0,0.0,0,0
140530978,2016-08-11,0,0.0,0,0,0,0.0,0,0
140536720,2016-08-11,0,0.0,0,0,0,0.0,0,0
140670139,2016-08-11,0,0.0,0,0,0,0.0,0,0
140431954,2016-08-11,0,0.0,0,0,0,0.0,0,0
140111566,2016-08-11,0,0.0,79,0,0,0.0,0,0
140567586,2016-08-11,0,0.0,268,0,0,0.0,0,0
140451790,2016-08-11,0,0.0,0,0,0,0.0,0,0
140664881,2016-08-11,0,0.0,0,0,0,0.0,0,0
140585435,2016-08-11,0,0.0,71,0,0,0.0,0,0
140171664,2016-08-11,0,0.0,3899,0,0,0.0,0,0
140578814,2016-08-11,0,0.0,0,0,0,0.0,0,0
140260830,2016-08-11,0,0.0,0,0,0,0.0,0,0
140655263,2016-08-11,0,0.0,0,0,0,0.0,0,1
140365471,2016-08-11,0,0.0,0,0,0,0.0,0,0
140484714,2016-08-11,0,0.0,0,0,0,0.0,0,0
140215561,2016-08-11,0,0.0,0,0,0,0.0,0,0
140547811,2016-08-11,0,0.0,0,0,0,0.0,0,0
140220672,2016-08-11,0,0.0,0,0,0,0.0,0,0
140093275,2016-08-11,0,0.0,0,0,0,0.0,0,0
140230756,2016-08-11,0,0.0,496,0,0,0.0,0,0
140369369,2016-08-11,0,0.0,0,0,0,0.0,0,0
140506767,2016-08-11,0,0.0,0,0,0,0.0,0,1
140094741,2016-08-11,0,0.0,0,0,0,0.0,0,1
